point_id,year,n_obs,ndvi_mean,ndvi_max,ndvi_min,ndvi_std,ndvi_slope,ndvi_drop,cluster,risk_level
"102055,180129",2024,32,0.2827429731249999,0.43064907,0.1387987,0.0726410716417706,0.0003162373845461,0.16799847,2,HIGH_RISK
"102055,180130",2022,35,0.2439352971428571,0.33591482,0.1341108,0.0525447089389006,0.0004682833456895,0.14225172,1,MEDIUM_RISK
"102055,180130",2023,32,0.249767505625,0.35088873,0.09661437,0.0749650656945422,0.0008415550894051,0.0656576299999999,0,LOW_RISK
"102055,180130",2024,32,0.2477034634375,0.39590853,0.15500794,0.0526681775060267,5.161725572182315e-05,0.1903085299999999,1,MEDIUM_RISK
"102055,180131",2022,35,0.3063708514285714,0.44843492,0.14686824,0.0794676247428275,0.0008755677584539,0.1900323,2,HIGH_RISK
"102055,180131",2023,32,0.3008879984375,0.4139659,0.11610793,0.0945630531743889,0.0009670039687104,0.1174415799999999,2,HIGH_RISK
"102055,180131",2024,32,0.28701939125,0.41079083,0.18459606,0.0531307193594313,0.0002519117262888,0.1326425299999999,1,MEDIUM_RISK
"102055,180132",2022,35,0.3016405082857143,0.4238173,0.19917865,0.0535278991162919,0.0004177469934165,0.18170457,2,HIGH_RISK
"102055,180132",2023,32,0.3090503962499999,0.42789277,0.11137441,0.0990900359206973,0.000883522169528,0.1736554699999999,2,HIGH_RISK
"102055,180132",2024,33,0.2555607778787878,0.40818268,0.09394851,0.0653795122577189,0.000244180302858,0.17054175,2,HIGH_RISK
"102055,180133",2022,36,0.2575891691666667,0.35532826,0.16064401,0.0451608568200781,0.0004035242892478,0.14442536,1,MEDIUM_RISK
"102055,180133",2023,32,0.2672676969374999,0.38114884,0.092014596,0.0889865965432405,0.0009388287496057,0.1412271199999999,0,LOW_RISK
"102055,180133",2024,33,0.2301237015151515,0.37102246,0.080441,0.0580485012858905,0.0001913090715951,0.16347529,1,MEDIUM_RISK
"102056,180122",2022,37,0.2775166429729729,0.38259834,0.20543388,0.0453879845973033,0.000155963550812,0.16450936,1,MEDIUM_RISK
"102056,180122",2023,32,0.271832973125,0.3628982,0.1827957,0.0472075676124283,0.000421848676873,0.1196156999999999,1,MEDIUM_RISK
"102056,180122",2024,28,0.2449807674999999,0.31330264,0.2050107,0.0268512435434266,-0.0001289354925909,0.10089061,1,MEDIUM_RISK
"102056,180123",2022,37,0.2947129424324325,0.4369519,0.20759194,0.0539638578174379,0.0005382634880405,0.1814614199999999,2,HIGH_RISK
"102056,180123",2023,33,0.2885047272727273,0.42499593,0.16085722,0.0652899026841051,0.0007175355380981,0.07430559,0,LOW_RISK
"102056,180123",2024,29,0.2822793689655172,0.36050954,0.19538519,0.0418284205038182,0.0002543629245254,0.0800825,1,MEDIUM_RISK
"102056,180124",2022,36,0.3095259177777778,0.4193947,0.18680641,0.0568633121060901,0.0003258512564874,0.1838032,2,HIGH_RISK
